x, y, yaw, km, kf, sf
3.0165,2.01217,1.03934,0.471399,-0.13431,3.93537
4.02497,2.04606,1.05497,0.298499,0.162374,4.75876
5.0061,2.01368,1.05274,0.200323,0.290318,5.68453
5.96772,1.95473,1.01792,0.14075,0.344408,6.62457
6.99697,2.00125,1.04821,0.103899,0.367354,7.64713
1.96495,-2.03896,-1.0256,-0.777724,0.811026,3.26011
3.01736,-2.01384,-1.03918,-0.469454,0.123079,3.92917
3.983,-1.98249,-1.04146,-0.29805,-0.159326,4.80549
5.00191,-2.02212,-1.0534,-0.200822,-0.291699,5.73819
5.96379,-1.95406,-1.0282,-0.141311,-0.347473,6.67562
6.997,-2.00129,-1.04822,-0.103373,-0.366551,7.647
1.00437,-0.0056935,-1.08963,0.31645,-3.771,1.03723
2.00434,0.00212682,-1.04022,0.0990742,-2.49791,2.128
2.99756,-0.00221494,-1.05239,0.0598164,-1.77707,3.18474
3.99588,-0.00169671,-1.03826,0.046579,-1.35042,4.21341
4.99169,0.00759498,-1.03719,0.0347952,-1.11247,5.27914
6.02998,-0.0563912,-1.11098,0.0316589,-0.917832,6.28128
6.98576,0.0172766,-1.03068,0.024565,-0.809674,7.37382
2.00495,1.98112,-1.09938,0.832764,-4.03298,3.509
3.01505,1.97575,-1.13639,0.550648,-2.76156,4.13963
3.99229,1.99226,-1.04495,0.360779,-2.1633,5.0307
5.0163,1.97342,-1.10154,0.26091,-1.65784,5.90877
5.9535,2.01655,-1.02923,0.194957,-1.34453,6.85544
6.95484,2.04181,-0.985782,0.147312,-1.1564,7.89247
1.94856,-1.9827,-0.08359,-0.853375,2.52598,3.22495
3.00682,-1.97734,0.0169314,-0.531344,1.60336,3.89893
3.98014,-1.99579,-0.0129408,-0.348817,1.0615,4.70127
5.0635,-1.9935,0.0583473,-0.24321,0.733386,5.55301
6.02668,-1.99773,0.0174532,-0.175772,0.552051,6.50204
7.04801,-1.99951,0.0217194,-0.133557,0.416275,7.41847
0.96,0,0,0,0,1.05
1.92,0,0,0,0,2.06667
2.96,0,0,0,0,3.05
4,0,0,0,0,4
4.96,0,0,0,0,5.05
6,0,0,0,0,6
6.96,0,0,0,0,7.05
1.94856,1.9827,0.08359,0.853375,-2.52598,3.22495
3.00682,1.97734,-0.0169314,0.531344,-1.60336,3.89893
3.98014,1.99579,0.0129408,0.348817,-1.0615,4.70127
5.0635,1.9935,-0.0583473,0.24321,-0.733386,5.55301
6.02668,1.99773,-0.0174532,0.175772,-0.552051,6.50204
7.04801,1.99951,-0.0217194,0.133557,-0.416275,7.41847
2.00495,-1.98112,1.09938,-0.832764,4.03298,3.509
3.01505,-1.97575,1.13639,-0.550648,2.76156,4.13963
3.99229,-1.99226,1.04495,-0.360779,2.1633,5.0307
5.0163,-1.97342,1.10154,-0.26091,1.65784,5.90877
5.9535,-2.01655,1.02923,-0.194957,1.34453,6.85544
6.95484,-2.04181,0.985782,-0.147312,1.1564,7.89247
1.00437,0.0056935,1.08963,-0.31645,3.771,1.03723
2.00434,-0.00212682,1.04022,-0.0990742,2.49791,2.128
2.99756,0.00221494,1.05239,-0.0598164,1.77707,3.18474
3.99588,0.00169671,1.03826,-0.046579,1.35042,4.21341
4.99169,-0.00759498,1.03719,-0.0347952,1.11247,5.27914
6.02998,0.0563912,1.11098,-0.0316589,0.917832,6.28128
6.98576,-0.0172766,1.03068,-0.024565,0.809674,7.37382
1.96495,2.03896,1.0256,0.777724,-0.811026,3.26011
3.01736,2.01384,1.03918,0.469454,-0.123079,3.92917
3.983,1.98249,1.04146,0.29805,0.159326,4.80549
5.00191,2.02212,1.0534,0.200822,0.291699,5.73819
5.96379,1.95406,1.0282,0.141311,0.347473,6.67562
6.997,2.00129,1.04822,0.103373,0.366551,7.647
